Id,Label
Adela RĂILEANU,Adela RĂILEANU
Adrian DOMENTIUC,Adrian DOMENTIUC
Adrian LEBEDINSKII,Adrian LEBEDINSKII
Ala URSU-ANTOCI,Ala URSU-ANTOCI
Alexandr BERLINSCHII,Alexandr BERLINSCHII
Alexandr STOIANOGLO,Alexandr STOIANOGLO
Alexandr TRUBCA,Alexandr TRUBCA
Alexandru CHIȚU,Alexandru CHIȚU
Alic BARABOI,Alic BARABOI
Ana CALINICI,Ana CALINICI
Ana ȚURCAN-OBOROC,Ana ȚURCAN-OBOROC
Andrian CHEPTONAR,Andrian CHEPTONAR
Angela CUTASEVICI,Angela CUTASEVICI
Artemie CĂTĂNOI,Artemie CĂTĂNOI
Bogdat ȚÎRDEA,Bogdat ȚÎRDEA
Constantin CUIUMJU,Constantin CUIUMJU
Constantin STARÎȘ,Constantin STARÎȘ
Diana CARAMAN,Diana CARAMAN
Dinu PLÎNGĂU,Dinu PLÎNGĂU
Doina GHERMAN,Doina GHERMAN
Dorian ISTRATII,Dorian ISTRATII
Elena GRIȚCO,Elena GRIȚCO
Gabriela CUNEVA,Gabriela CUNEVA
Gaik VARTANEAN,Gaik VARTANEAN
Grigore NOVAC,Grigore NOVAC
Igor CHIRIAC,Igor CHIRIAC
Igor DODON,Igor DODON
Igor TALMAZAN,Igor TALMAZAN
Ilie IONAȘ,Ilie IONAȘ
Inga SIBOVA,Inga SIBOVA
Ion CHICU,Ion CHICU
Iurie LEVINSCHI,Iurie LEVINSCHI
Larisa NOVAC,Larisa NOVAC
Lilian CARP,Lilian CARP
Liliana IACONI,Liliana IACONI
Nicolae MARGARINT,Nicolae MARGARINT
Olga CEBOTARI,Olga CEBOTARI
Pavel VOICU,Pavel VOICU
Petru BURDUJA,Petru BURDUJA
Radu MARIAN,Radu MARIAN
Renato USATÎI,Renato USATÎI
Sergiu LAZARENCU,Sergiu LAZARENCU
Sergiu STEFANCO,Sergiu STEFANCO
Valeriu MUDUC,Valeriu MUDUC
Valeriu ROBU,Valeriu ROBU
Vasile COSTIUC,Vasile COSTIUC
Vasile GRĂDINARU,Vasile GRĂDINARU
Victoria BELOUS,Victoria BELOUS
Vladimir ODNOSTALCO,Vladimir ODNOSTALCO
